Airfoil Name
1.00000000 0.00000000
0.99075258 0.00178179
0.98079306 0.00360263
0.97017670 0.00545741
0.95895588 0.00734094
0.94718057 0.00924800
0.93489814 0.01117336
0.92215365 0.01311184
0.90899026 0.01505833
0.89544833 0.01700779
0.88156617 0.01895534
0.86738062 0.02089621
0.85292590 0.02282579
0.83823490 0.02473962
0.82333839 0.02663345
0.80826563 0.02850319
0.79304385 0.03034497
0.77769935 0.03215511
0.76225632 0.03393012
0.74673778 0.03566672
0.73116577 0.03736185
0.71556014 0.03901263
0.69994020 0.04061640
0.68432379 0.04217072
0.66872764 0.04367329
0.65316755 0.04512203
0.63765800 0.04651507
0.62221289 0.04785066
0.60684490 0.04912730
0.59156585 0.05034360
0.57638675 0.05149834
0.56131798 0.05259047
0.54636902 0.05361907
0.53154862 0.05458337
0.51686507 0.05548272
0.50232553 0.05631659
0.48793739 0.05708459
0.47370660 0.05778641
0.45963937 0.05842185
0.44574070 0.05899082
0.43201554 0.05949328
0.41846848 0.05992931
0.40510350 0.06029905
0.39192420 0.06060270
0.37893406 0.06084049
0.36613587 0.06101280
0.35353237 0.06111994
0.34112597 0.06116235
0.32891887 0.06114048
0.31691295 0.06105480
0.30511004 0.06090588
0.29351133 0.06069420
0.28211844 0.06042037
0.27093247 0.06008500
0.25995445 0.05968866
0.24918550 0.05923208
0.23862603 0.05871578
0.22827727 0.05814055
0.21813966 0.05750704
0.20821388 0.05681596
0.19850063 0.05606806
0.18900026 0.05526404
0.17971383 0.05440480
0.17064151 0.05349103
0.16178420 0.05252366
0.15314254 0.05150355
0.14471732 0.05043163
0.13650946 0.04930895
0.12851968 0.04813644
0.12074924 0.04691532
0.11319914 0.04564674
0.10587072 0.04433199
0.09876543 0.04297249
0.09188469 0.04156966
0.08523038 0.04012520
0.07880423 0.03864083
0.07260834 0.03711848
0.06664489 0.03556025
0.06091621 0.03396839
0.05542489 0.03234543
0.05017354 0.03069404
0.04516505 0.02901722
0.04040236 0.02731818
0.03588859 0.02560046
0.03162693 0.02386790
0.02762065 0.02212465
0.02387312 0.02037532
0.02038767 0.01862483
0.01716761 0.01687855
0.01421622 0.01514231
0.01153659 0.01342241
0.00913166 0.01172568
0.00700407 0.01005948
0.00515615 0.00843177
0.00358973 0.00685109
0.00230614 0.00532666
0.00130601 0.00386835
0.00058920 0.00248677
0.00015459 0.00119327
0.00000000 0.00000000
0.00012558 -0.00088476
0.00049977 -0.00179139
0.00112606 -0.00271811
0.00200736 -0.00366288
0.00314607 -0.00462352
0.00454414 -0.00559765
0.00620313 -0.00658278
0.00812425 -0.00757635
0.01030842 -0.00857569
0.01275628 -0.00957812
0.01546824 -0.01058090
0.01844453 -0.01158131
0.02168520 -0.01257663
0.02519015 -0.01356419
0.02895921 -0.01454136
0.03299201 -0.01550556
0.03728815 -0.01645428
0.04184717 -0.01738512
0.04666851 -0.01829573
0.05175159 -0.01918391
0.05709570 -0.02004749
0.06270021 -0.02088452
0.06856431 -0.02169305
0.07468728 -0.02247133
0.08106827 -0.02321770
0.08770639 -0.02393060
0.09460083 -0.02460865
0.10175048 -0.02525052
0.10915446 -0.02585506
0.11681168 -0.02642122
0.12472090 -0.02694805
0.13288116 -0.02743475
0.14129090 -0.02788057
0.14994892 -0.02828496
0.15885377 -0.02864739
0.16800384 -0.02896746
0.17739749 -0.02924490
0.18703274 -0.02947944
0.19690804 -0.02967104
0.20702088 -0.02981959
0.21736932 -0.02992518
0.22795090 -0.02998790
0.23876294 -0.03000795
0.24980301 -0.02998561
0.26106769 -0.02992114
0.27255422 -0.02981499
0.28425911 -0.02966755
0.29617873 -0.02947934
0.30830932 -0.02925091
0.32064652 -0.02898282
0.33318642 -0.02867575
0.34592417 -0.02833040
0.35885495 -0.02794749
0.37197345 -0.02752784
0.38527438 -0.02707226
0.39875180 -0.02658165
0.41239971 -0.02605696
0.42621160 -0.02549918
0.44018075 -0.02490934
0.45430011 -0.02428855
0.46856210 -0.02363799
0.48295873 -0.02295888
0.49748209 -0.02225253
0.51212358 -0.02152030
0.52687407 -0.02076367
0.54172415 -0.01998416
0.55666411 -0.01918343
0.57168376 -0.01836321
0.58677244 -0.01752533
0.60191929 -0.01667176
0.61711264 -0.01580458
0.63234055 -0.01492600
0.64759076 -0.01403837
0.66285032 -0.01314419
0.67810613 -0.01224610
0.69334424 -0.01134693
0.70855075 -0.01044967
0.72371066 -0.00955750
0.73880875 -0.00867379
0.75382966 -0.00780210
0.76875705 -0.00694620
0.78357446 -0.00611011
0.79826421 -0.00529803
0.81280929 -0.00451444
0.82719105 -0.00376403
0.84139109 -0.00305175
0.85539013 -0.00238279
0.86916840 -0.00176265
0.88270587 -0.00119703
0.89598155 -0.00069196
0.90897411 -0.00025372
0.92166215 0.00011113
0.93402296 0.00039576
0.94603378 0.00059303
0.95767111 0.00069553
0.96891111 0.00069559
0.97972929 0.00058522
0.99010098 0.00035620
1.00000000 0.00000000
